filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1,10]",1.64
regenerated_new/2/H/case-100114_JAY_ANNOTATION.png,"[2,10]",0.99
regenerated_new/3/H/case-100114_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/4/H/case-100114_JAY_ANNOTATION.png,"[4,12]",0.99
regenerated_new/5/H/case-100114_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/6/H/case-100114_JAY_ANNOTATION.png,"[2,6]",0.86
regenerated_new/9/H/case-100114_JAY_ANNOTATION.png,"[14,9]",0.99
regenerated_new/10/H/case-100114_JAY_ANNOTATION.png,"[10,11]",1.11
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100114_JAY_ANNOTATION.png,"[12,4]",0.99
regenerated_new/13/H/case-100114_JAY_ANNOTATION.png,"[5,13]",0.99
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100129_JAY_ANNOTATION.png,"[2,10]",0.99
regenerated_new/3/H/case-100129_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/4/H/case-100129_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/5/H/case-100129_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/10/H/case-100129_JAY_ANNOTATION.png,"[10,11]",1.11
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/13/H/case-100129_JAY_ANNOTATION.png,"[13,14]",1.11
regenerated_new/14/H/case-100129_JAY_ANNOTATION.png,"[14,9]",0.99
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1,10]",0.98
regenerated_new/2/H/case-100164_JAY_ANNOTATION.png,"[2,10]",0.98
regenerated_new/3/H/case-100164_JAY_ANNOTATION.png,"[3,10]",0.98
regenerated_new/4/H/case-100164_JAY_ANNOTATION.png,"[4,12]",0.99
regenerated_new/5/H/case-100164_JAY_ANNOTATION.png,"[5,13]",0.99
regenerated_new/10/H/case-100164_JAY_ANNOTATION.png,"[10,11]",1.1
regenerated_new/11/H/case-100164_JAY_ANNOTATION.png,"[11,10]",1.1
regenerated_new/12/H/case-100164_JAY_ANNOTATION.png,"[12,4]",0.98
regenerated_new/13/H/case-100164_JAY_ANNOTATION.png,"[5,13]",0.99
regenerated_new/14/H/case-100164_JAY_ANNOTATION.png,"[14,9]",0.99
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1,10]",0.98
regenerated_new/2/H/case-100229_JAY_ANNOTATION.png,"[2,4]",0.86
regenerated_new/3/H/case-100229_JAY_ANNOTATION.png,"[3,10]",0.98
regenerated_new/4/H/case-100229_JAY_ANNOTATION.png,"[4,12]",0.99
regenerated_new/5/H/case-100229_JAY_ANNOTATION.png,"[13,5]",0.98
regenerated_new/10/H/case-100229_JAY_ANNOTATION.png,"[10,11]",1.1
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[11,10]",1.11
regenerated_new/12/H/case-100229_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/13/H/case-100229_JAY_ANNOTATION.png,"[13,5]",0.99
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100245_JAY_ANNOTATION.png,"[2,10]",0.98
regenerated_new/3/H/case-100245_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/4/H/case-100245_JAY_ANNOTATION.png,"[4,2]",0.86
regenerated_new/5/H/case-100245_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/10/H/case-100245_JAY_ANNOTATION.png,"[10,11]",1.1
regenerated_new/11/H/case-100245_JAY_ANNOTATION.png,"[11,10]",1.11
regenerated_new/12/H/case-100245_JAY_ANNOTATION.png,"[12,14]",1.11
regenerated_new/13/H/case-100245_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100247_JAY_ANNOTATION.png,"[2,10]",0.98
regenerated_new/3/H/case-100247_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/4/H/case-100247_JAY_ANNOTATION.png,"[4,2]",0.86
regenerated_new/5/H/case-100247_JAY_ANNOTATION.png,"[13,5]",0.98
regenerated_new/10/H/case-100247_JAY_ANNOTATION.png,"[10,11]",1.1
regenerated_new/11/H/case-100247_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100247_JAY_ANNOTATION.png,"[12,4]",0.98
regenerated_new/13/H/case-100247_JAY_ANNOTATION.png,"[13,14]",1.11
regenerated_new/14/H/case-100247_JAY_ANNOTATION.png,"[14,13]",1.11
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100254_JAY_ANNOTATION.png,"[2,10]",0.98
regenerated_new/3/H/case-100254_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/5/H/case-100254_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/10/H/case-100254_JAY_ANNOTATION.png,"[10,11]",1.11
regenerated_new/11/H/case-100254_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100254_JAY_ANNOTATION.png,"[12,4]",0.98
regenerated_new/13/H/case-100254_JAY_ANNOTATION.png,"[13,5]",0.99
regenerated_new/14/H/case-100254_JAY_ANNOTATION.png,"[14,13]",1.11
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100265_JAY_ANNOTATION.png,"[2,4]",0.86
regenerated_new/3/H/case-100265_JAY_ANNOTATION.png,"[3,10]",0.98
regenerated_new/4/H/case-100265_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/5/H/case-100265_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/10/H/case-100265_JAY_ANNOTATION.png,"[11,10]",1.11
regenerated_new/11/H/case-100265_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100265_JAY_ANNOTATION.png,"[12,14]",1.11
regenerated_new/13/H/case-100265_JAY_ANNOTATION.png,"[13,9]",0.98
regenerated_new/14/H/case-100265_JAY_ANNOTATION.png,"[14,13]",1.11
regenerated_new/1/H/case-100304_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100304_JAY_ANNOTATION.png,"[2,10]",0.99
regenerated_new/3/H/case-100304_JAY_ANNOTATION.png,"[3,10]",0.99
regenerated_new/4/H/case-100304_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/5/H/case-100304_JAY_ANNOTATION.png,"[13,5]",0.99
regenerated_new/10/H/case-100304_JAY_ANNOTATION.png,"[10,11]",1.11
regenerated_new/11/H/case-100304_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100304_JAY_ANNOTATION.png,"[12,14]",1.11
regenerated_new/13/H/case-100304_JAY_ANNOTATION.png,"[13,5]",0.98
regenerated_new/14/H/case-100304_JAY_ANNOTATION.png,"[14,9]",0.99
regenerated_new/1/H/case-100308_JAY_ANNOTATION.png,"[1,10]",0.99
regenerated_new/2/H/case-100308_JAY_ANNOTATION.png,"[2,4]",0.86
regenerated_new/3/H/case-100308_JAY_ANNOTATION.png,"[3,10]",0.98
regenerated_new/4/H/case-100308_JAY_ANNOTATION.png,"[4,12]",0.98
regenerated_new/5/H/case-100308_JAY_ANNOTATION.png,"[5,13]",0.98
regenerated_new/9/H/case-100308_JAY_ANNOTATION.png,"[14,9]",0.98
regenerated_new/10/H/case-100308_JAY_ANNOTATION.png,"[10,11]",1.11
regenerated_new/11/H/case-100308_JAY_ANNOTATION.png,"[11,12]",1.11
regenerated_new/12/H/case-100308_JAY_ANNOTATION.png,"[4,12]",0.98
