filename,output,inference_time_sec
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10151099395979621308892699787301311930-c.png,"[3,20]",0.96
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10234738119248404005722038110176072533-c.png,"[3,20]",0.44
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10238604796624787944349340321444383403-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10295485998536703102222365306183300035-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10319865801164854092101901165773590360-c.png,"[1,12]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10336027809141061948147342418725755379-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10670830481577978462403418773444917077-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10852836988483723065108282225982312389-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10855521081259314053963952297511251103-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.10995795755476412772810165173442476102-c.png,"[14,19]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11193024530936666699331245429485467591-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11249468314063287105971224932401677535-c.png,"[1,6]",0.37
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11335817940219401502851913738050469703-c.png,"[11,12]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11372254666060926583561863442879919972-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11430185427783861938088406669987177226-c.png,"[10,13]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11437932063717201548634673007589281211-c.png,"[11,12]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11524595338212906051183907822812157177-c.png,"[6,7]",0.37
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11525438084542282558810567614348583958-c.png,"[1,12]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11594460919874020693074059465211127073-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11851981752095524983766808823647205500-c.png,"[3,14]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11894940074764904932803154350376953059-c.png,"[11,12]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11947519930870274635746593226207050285-c.png,"[0,15]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.11968511297377733581885934406403021629-c.png,"[10,19]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12063258080118904000188967574141867069-c.png,"[0,15]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12115211226207465067894867083043839170-c.png,"[15,19]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12235088338649529050263073351737622316-c.png,"[2,3]",0.37
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12238101317656134378882781868242599961-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12363067424206260737821416500039285243-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12495370180695875363027673660666899198-c.png,"[11,12]",0.47
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12516034995064011638885116460482962933-c.png,"[5,12]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12694707511693593639081198843907324880-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12823680871769331862340370899002670909-c.png,"[10,13]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12866370363362455047253382258366617014-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12890381296975892829022621008724647385-c.png,"[16,20]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12930692248476176083952906814681878481-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12988003902739370568781577767385885625-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.12995270219971941119897501347924014758-c.png,"[9,21]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.13087980657251222022276186328740259547-c.png,"[5,8]",0.37
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.13249692030894879858388575669122162009-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.13991090089851460010665839222948439048-c.png,"[3,14]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.14366638606503685507825657244421539407-c.png,"[6,12]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.15057304241493848725568511971316122720-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.15144815417970827102709069064050334659-c.png,"[13,20]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.16930007474042927109024927790010630933-c.png,"[3,20]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.17903335113031912020420812320511912026-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.18477715115151229398156531813764076690-c.png,"[2,11]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.18970959658435305969387472132436608829-c.png,"[14,15]",0.47
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19200697748436099504779567288200733198-c.png,"[3,20]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19275347305922058242303659159483967248-c.png,"[21,9]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19311805687570359601324321230480748877-c.png,"[3,19]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19492460680304470580481294083656750366-c.png,"[3,14]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19650035668800346959048957101834990627-c.png,"[1,6]",0.38
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19721119621238043697657706477588147207-c.png,"[3,13]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.19878644487806502082817203359923592427-c.png,"[3,14]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.20622771129562762946492457195654215393-c.png,"[2,13]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.21199751632414178657230526938620391906-c.png,"[3,15]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.21444084905678309951440148690885283407-c.png,"[3,20]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.21856139522423990262921187584348870082-c.png,"[9,21]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.22006840290550024039334265955748272752-c.png,"[9,21]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.22113515954693641708288051306836351667-c.png,"[0,15]",0.42
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.22935770255018636297024134786639104890-c.png,"[3,14]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.23155247574365266930043708208105420188-c.png,"[21,12]",0.48
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.23454375140912819740975435771767412101-c.png,"[3,20]",0.43
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.23558046009638109050649924069601834145-c.png,"[5,8]",0.38
unifesp/TRAIN/1.2.826.0.1.3680043.8.498.23848675463749784561026528472979060352-c.png,"[3,16]",0.43
