filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1, 11]",2.13
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100114_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/3/H/case-100129_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/11/H/case-100164_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100164_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100229_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/11/H/case-100245_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100245_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/2/H/case-100247_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100247_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100247_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/2/H/case-100254_JAY_ANNOTATION.png,"[2,3]",1.22
regenerated_new/11/H/case-100254_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100254_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/2/H/case-100265_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100265_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100265_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100304_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100304_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100304_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100308_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/2/H/case-100308_JAY_ANNOTATION.png,"[2,3]",1.22
regenerated_new/11/H/case-100308_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100308_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100359_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100359_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100359_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100366_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100366_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100366_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100369_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/11/H/case-100369_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100369_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100371_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100371_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100371_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100515_JAY_ANNOTATION.png,"[1, 11]",1.56
regenerated_new/11/H/case-100515_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100515_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/1/H/case-100518_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100518_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100518_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100541_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/2/H/case-100541_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100541_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100541_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100585_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100585_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100585_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100591_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/11/H/case-100591_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100591_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100702_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/2/H/case-100702_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100702_JAY_ANNOTATION.png,"[11,12]",1.56
regenerated_new/12/H/case-100702_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100770_JAY_ANNOTATION.png,"[1, 11]",1.55
regenerated_new/2/H/case-100770_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/3/H/case-100770_JAY_ANNOTATION.png,"[2,3]",1.21
regenerated_new/11/H/case-100770_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/12/H/case-100770_JAY_ANNOTATION.png,"[11,12]",1.55
regenerated_new/1/H/case-100779_JAY_ANNOTATION.png,"[1, 11]",1.55
