filename,output,inference_time_sec
gaussian_xyz/case-100575/case-100575_-57.08139544460262_12.738662011332739_168.47685931285935.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 6: Right elbow, Right olecranon, Right Cubital joint, Right Elbow joint, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",6.77
gaussian_xyz/case-100575/case-100575_-110.10122385275837_-71.93886884722603_-34.39196328414894.png,"[6: Right elbow, 10: T1, 12: Right hemidiaphragm]",2.35
gaussian_xyz/case-100575/case-100575_-0.7118865321938586_-2.7344308440128455_129.51997269786122.png,"[6: Right elbow, 10: T1, 11: Carina]",2.0
gaussian_xyz/case-100575/case-100575_18.544545831171945_-19.393059009232566_60.052080949761034.png,"[11: Carina, 3: Left humeral head, 10: T1]",2.08
gaussian_xyz/case-100575/case-100575_73.24221900737541_-47.02990174440557_-55.2445325420164.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 11: Carina, Tracheal bifurcation, Tracheal carina, 6: Right elbow, Right olecranon, Right Cubital joint, Right Elbow joint]",4.78
gaussian_xyz/case-100575/case-100575_108.59070673355001_42.897387837110536_59.357585775322775.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.78
gaussian_xyz/case-100575/case-100575_93.25411730413282_-32.178481980158125_-10.174046298605628.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.76
gaussian_xyz/case-100575/case-100575_-3.932429508090962_-4.375688490591221_-16.465194867540305.png,"[2: Right humeral head, 3: Left humeral head, 11: Carina]",2.08
gaussian_xyz/case-100575/case-100575_-72.06884438220582_-30.333189600540305_-180.81447955763088.png,"[10: T1 vertebral body, 11: Carina, 12: Right hemidiaphragm]",2.62
gaussian_xyz/case-100575/case-100575_135.15914299218923_-50.27285424751548_-46.19927450469338.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.78
gaussian_xyz/case-100575/case-100575_-89.19363440040924_-32.061048760074655_79.49526966064991.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_170.80930950226008_-17.36649385082215_-29.613398923212337.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 10: T1 vertebral body, 11: Carina, Tracheal bifurcation, Tracheal carina]",3.79
gaussian_xyz/case-100575/case-100575_-170.42160979235138_-65.36491364100357_154.2357147985804.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_-21.8233817179063_76.36050876090279_-7.907941076743086.png,"[2: Right proximal humerus, 6: Right elbow, 10: T1]",2.08
gaussian_xyz/case-100575/case-100575_57.68774548167906_76.91554885826388_-174.06359374057604.png,"[2: Right humeral head, 6: Right elbow, 4: Right scapular inferior angle]",2.17
gaussian_xyz/case-100575/case-100575_-92.27132026883292_-15.86633589759791_6.367998271251932.png,"[10: T1 vertebral body, 11: Carina, 6: Right elbow]",2.17
gaussian_xyz/case-100575/case-100575_-61.65208282569144_-68.0882030195416_-100.60940423844961.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_15.995728097794256_70.58913820406447_-96.31135706795342.png,"[2: Right humeral head, 3: Left humeral head, 6: Right elbow]",1.99
gaussian_xyz/case-100575/case-100575_-128.17815671448548_29.005822271869793_-53.207616373917645.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_108.21925215262746_-1.8591979946649322_-59.833297541795275.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 6: Right elbow, Right olecranon, Right Cubital joint, Right Elbow joint, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.23
gaussian_xyz/case-100575/case-100575_81.34867658890812_-90.92770803687301_-48.10705195400888.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.78
gaussian_xyz/case-100575/case-100575_119.83616012028153_-47.41212230070035_-130.79667601879694.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.78
gaussian_xyz/case-100575/case-100575_59.06886184475519_-30.09623645751905_-90.24707717623978.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_-168.25879090012566_-18.004937766822618_-144.56047917629465.png,"[1: Skull, Cranium, Cranial vault, Calvarium, 2: Right humeral head, Right Proximal humerus, Head of right humerus, Right glenohumeral head, 10: T1, First thoracic vertebra, T1 vertebral body, Upper thoracic vertebra]",5.77
gaussian_xyz/case-100575/case-100575_-160.27865552383793_-36.55413610188953_-70.1594313815886.png,"[6: Right elbow, 10: T1 vertebral body, 12: Right hemidiaphragm]",2.53
gaussian_xyz/case-100575/case-100575_-108.92545283028777_-21.375622279160805_-81.24877207612708.png,"[2: Right humeral head, 6: Right elbow, 10: T1]",1.99
gaussian_xyz/case-100575/case-100575_-10.63125225138458_-8.918991099884337_150.01330352579464.png,"[11: Carina, 10: T1, 5: Left scapular inferior angle]",2.26
