file_path,landmark,target
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100114_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100114_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100129_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100129_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100164_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100164_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100229_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100229_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100245_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100245_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100247_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100247_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100254_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100254_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100265_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100265_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100304_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100304_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100304_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100304_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100308_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100308_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100308_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100308_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100359_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100359_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100359_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100359_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100366_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100366_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100366_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100366_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100369_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100369_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100369_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100369_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100371_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100371_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100371_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100371_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100515_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100515_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100515_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100515_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100518_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100518_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100518_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100518_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100541_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100541_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100541_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100541_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100585_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100585_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100585_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100585_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100591_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100591_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100591_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100591_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100702_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100702_JAY_ANNOTATION.png,1,5
regenerated_new/4/H/case-100702_JAY_ANNOTATION.png,4,1
regenerated_new/5/H/case-100702_JAY_ANNOTATION.png,5,1
regenerated_new/1/H/case-100770_JAY_ANNOTATION.png,1,4
regenerated_new/1/H/case-100770_JAY_ANNOTATION.png,1,5
