filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1,10]",2.07
regenerated_new/2/H/case-100114_JAY_ANNOTATION.png,"[2,4]",1.29
regenerated_new/3/H/case-100114_JAY_ANNOTATION.png,"[2,3]",1.29
regenerated_new/4/H/case-100114_JAY_ANNOTATION.png,"[4,11]",1.47
regenerated_new/5/H/case-100114_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/6/H/case-100114_JAY_ANNOTATION.png,"[6,14]",1.47
regenerated_new/7/H/case-100114_JAY_ANNOTATION.png,"[7,14]",1.48
regenerated_new/10/H/case-100114_JAY_ANNOTATION.png,"[10,11]",1.65
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[11,12]",1.66
regenerated_new/12/H/case-100114_JAY_ANNOTATION.png,"[12,14]",1.65
regenerated_new/13/H/case-100114_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1,10]",1.47
regenerated_new/2/H/case-100129_JAY_ANNOTATION.png,"[2,11]",1.47
regenerated_new/3/H/case-100129_JAY_ANNOTATION.png,"[3,10]",1.47
regenerated_new/4/H/case-100129_JAY_ANNOTATION.png,"[4,11]",1.47
regenerated_new/5/H/case-100129_JAY_ANNOTATION.png,"[5,3]",1.29
regenerated_new/6/H/case-100129_JAY_ANNOTATION.png,"[6,14]",1.47
regenerated_new/7/H/case-100129_JAY_ANNOTATION.png,"[7,13]",1.47
regenerated_new/8/H/case-100129_JAY_ANNOTATION.png,"[14,8]",1.47
regenerated_new/9/H/case-100129_JAY_ANNOTATION.png,"[9,14]",1.47
regenerated_new/10/H/case-100129_JAY_ANNOTATION.png,"[10,11]",1.66
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[11,12]",1.66
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[12,9]",1.47
regenerated_new/13/H/case-100129_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/14/H/case-100129_JAY_ANNOTATION.png,"[14,9]",1.47
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1,10]",1.47
regenerated_new/2/H/case-100164_JAY_ANNOTATION.png,"[2,10]",1.47
regenerated_new/3/H/case-100164_JAY_ANNOTATION.png,"[3,10]",1.47
regenerated_new/4/H/case-100164_JAY_ANNOTATION.png,"[4,12]",1.47
regenerated_new/5/H/case-100164_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/6/H/case-100164_JAY_ANNOTATION.png,"[6,14]",1.47
regenerated_new/10/H/case-100164_JAY_ANNOTATION.png,"[10,11]",1.66
regenerated_new/11/H/case-100164_JAY_ANNOTATION.png,"[10,11]",1.65
regenerated_new/12/H/case-100164_JAY_ANNOTATION.png,"[12,14]",1.65
regenerated_new/13/H/case-100164_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/14/H/case-100164_JAY_ANNOTATION.png,"[14,9]",1.47
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1,10]",1.47
regenerated_new/2/H/case-100229_JAY_ANNOTATION.png,"[2,10]",1.47
regenerated_new/3/H/case-100229_JAY_ANNOTATION.png,"[3,10]",1.47
regenerated_new/4/H/case-100229_JAY_ANNOTATION.png,"[4,12]",1.47
regenerated_new/5/H/case-100229_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/10/H/case-100229_JAY_ANNOTATION.png,"[10,11]",1.66
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[11,10]",1.66
regenerated_new/12/H/case-100229_JAY_ANNOTATION.png,"[12,11]",1.66
regenerated_new/13/H/case-100229_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/14/H/case-100229_JAY_ANNOTATION.png,"[14,13]",1.65
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1,10]",1.47
regenerated_new/2/H/case-100245_JAY_ANNOTATION.png,"[2,10]",1.47
regenerated_new/3/H/case-100245_JAY_ANNOTATION.png,"[3,10]",1.47
regenerated_new/4/H/case-100245_JAY_ANNOTATION.png,"[4,12]",1.47
regenerated_new/5/H/case-100245_JAY_ANNOTATION.png,"[11,5]",1.47
regenerated_new/6/H/case-100245_JAY_ANNOTATION.png,"[6,14]",1.47
regenerated_new/7/H/case-100245_JAY_ANNOTATION.png,"[7,13]",1.47
regenerated_new/8/H/case-100245_JAY_ANNOTATION.png,"[8,14]",1.47
regenerated_new/10/H/case-100245_JAY_ANNOTATION.png,"[10,11]",1.65
regenerated_new/11/H/case-100245_JAY_ANNOTATION.png,"[10,11]",1.65
regenerated_new/13/H/case-100245_JAY_ANNOTATION.png,"[11,13]",1.65
regenerated_new/14/H/case-100245_JAY_ANNOTATION.png,"[14,13]",1.66
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,"[1,10]",1.47
regenerated_new/2/H/case-100247_JAY_ANNOTATION.png,"[2,4]",1.29
regenerated_new/4/H/case-100247_JAY_ANNOTATION.png,"[4,12]",1.47
regenerated_new/6/H/case-100247_JAY_ANNOTATION.png,"[6,14]",1.47
regenerated_new/7/H/case-100247_JAY_ANNOTATION.png,"[7,13]",1.47
regenerated_new/10/H/case-100247_JAY_ANNOTATION.png,"[10,11]",1.66
regenerated_new/11/H/case-100247_JAY_ANNOTATION.png,"[11,12]",1.65
regenerated_new/12/H/case-100247_JAY_ANNOTATION.png,"[12,14]",1.66
regenerated_new/13/H/case-100247_JAY_ANNOTATION.png,"[13,5]",1.48
regenerated_new/14/H/case-100247_JAY_ANNOTATION.png,"[14,13]",1.66
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,"[1,10]",1.48
regenerated_new/2/H/case-100254_JAY_ANNOTATION.png,"[2,4]",1.29
regenerated_new/3/H/case-100254_JAY_ANNOTATION.png,"[3,10]",1.47
regenerated_new/5/H/case-100254_JAY_ANNOTATION.png,"[5,13]",1.47
regenerated_new/6/H/case-100254_JAY_ANNOTATION.png,"[6,14]",1.48
regenerated_new/7/H/case-100254_JAY_ANNOTATION.png,"[7,13]",1.47
regenerated_new/10/H/case-100254_JAY_ANNOTATION.png,"[10,11]",1.66
regenerated_new/11/H/case-100254_JAY_ANNOTATION.png,"[11,10]",1.65
