filename,output,inference_time_sec
regenerated_new/1/H/case-100114_JAY_ANNOTATION.png,"[1,2]",1.05
regenerated_new/2/H/case-100114_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/3/H/case-100114_JAY_ANNOTATION.png,"[3,4]",0.41
regenerated_new/7/H/case-100114_JAY_ANNOTATION.png,"[8,7]",0.41
regenerated_new/10/H/case-100114_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100114_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/13/H/case-100114_JAY_ANNOTATION.png,"[13,11]",0.52
regenerated_new/1/H/case-100129_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/6/H/case-100129_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/7/H/case-100129_JAY_ANNOTATION.png,"[7,8]",0.41
regenerated_new/10/H/case-100129_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100129_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/12/H/case-100129_JAY_ANNOTATION.png,"[12,13]",0.52
regenerated_new/1/H/case-100164_JAY_ANNOTATION.png,"[1,2]",0.41
regenerated_new/2/H/case-100164_JAY_ANNOTATION.png,"[2,5]",0.41
regenerated_new/6/H/case-100164_JAY_ANNOTATION.png,"[5,6]",0.41
regenerated_new/10/H/case-100164_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100164_JAY_ANNOTATION.png,"[11,12]",0.51
regenerated_new/1/H/case-100229_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/2/H/case-100229_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/10/H/case-100229_JAY_ANNOTATION.png,"[10,12]",0.51
regenerated_new/11/H/case-100229_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-100245_JAY_ANNOTATION.png,"[1,13]",0.46
regenerated_new/3/H/case-100245_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/4/H/case-100245_JAY_ANNOTATION.png,"[4,6]",0.41
regenerated_new/7/H/case-100245_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/10/H/case-100245_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100245_JAY_ANNOTATION.png,"[11,12]",0.51
regenerated_new/1/H/case-100247_JAY_ANNOTATION.png,"[1,7]",0.41
regenerated_new/3/H/case-100247_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/6/H/case-100247_JAY_ANNOTATION.png,"[6,9]",0.41
regenerated_new/11/H/case-100247_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/12/H/case-100247_JAY_ANNOTATION.png,"[12,13]",0.51
regenerated_new/1/H/case-100254_JAY_ANNOTATION.png,"[1,6]",0.41
regenerated_new/3/H/case-100254_JAY_ANNOTATION.png,"[3,4]",0.41
regenerated_new/11/H/case-100254_JAY_ANNOTATION.png,"[11,12]",0.51
regenerated_new/12/H/case-100254_JAY_ANNOTATION.png,"[12,13]",0.52
regenerated_new/1/H/case-100265_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/3/H/case-100265_JAY_ANNOTATION.png,"[3,4]",0.41
regenerated_new/7/H/case-100265_JAY_ANNOTATION.png,"[4,7]",0.41
regenerated_new/10/H/case-100265_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100265_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/12/H/case-100265_JAY_ANNOTATION.png,"[12,13]",0.51
regenerated_new/1/H/case-100304_JAY_ANNOTATION.png,"[1,7]",0.41
regenerated_new/2/H/case-100304_JAY_ANNOTATION.png,"[7,2]",0.41
regenerated_new/3/H/case-100304_JAY_ANNOTATION.png,"[3,2]",0.41
regenerated_new/10/H/case-100304_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100304_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/1/H/case-100308_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/2/H/case-100308_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/4/H/case-100308_JAY_ANNOTATION.png,"[2,4]",0.41
regenerated_new/6/H/case-100308_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/10/H/case-100308_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100308_JAY_ANNOTATION.png,"[11,12]",0.51
regenerated_new/14/H/case-100308_JAY_ANNOTATION.png,"[10,14]",0.52
regenerated_new/1/H/case-100359_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/6/H/case-100359_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/7/H/case-100359_JAY_ANNOTATION.png,"[7,8]",0.41
regenerated_new/10/H/case-100359_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100359_JAY_ANNOTATION.png,"[11,13]",0.51
regenerated_new/1/H/case-100366_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/11/H/case-100366_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-100369_JAY_ANNOTATION.png,"[1,10]",0.46
regenerated_new/10/H/case-100369_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100369_JAY_ANNOTATION.png,"[11,14]",0.51
regenerated_new/12/H/case-100369_JAY_ANNOTATION.png,"[2,12]",0.46
regenerated_new/1/H/case-100371_JAY_ANNOTATION.png,"[1,2]",0.41
regenerated_new/6/H/case-100371_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/10/H/case-100371_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100371_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-100515_JAY_ANNOTATION.png,"[1,13]",0.46
regenerated_new/2/H/case-100515_JAY_ANNOTATION.png,"[2,5]",0.41
regenerated_new/5/H/case-100515_JAY_ANNOTATION.png,"[4,5]",0.41
regenerated_new/7/H/case-100515_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/8/H/case-100515_JAY_ANNOTATION.png,"[8,9]",0.41
regenerated_new/10/H/case-100515_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100515_JAY_ANNOTATION.png,"[11,12]",0.52
regenerated_new/1/H/case-100518_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/2/H/case-100518_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/11/H/case-100518_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/1/H/case-100541_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/10/H/case-100541_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/12/H/case-100541_JAY_ANNOTATION.png,"[10,12]",0.52
regenerated_new/1/H/case-100585_JAY_ANNOTATION.png,"[1,2]",0.41
regenerated_new/2/H/case-100585_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/10/H/case-100585_JAY_ANNOTATION.png,"[10,12]",0.52
regenerated_new/11/H/case-100585_JAY_ANNOTATION.png,"[11,12]",0.51
regenerated_new/1/H/case-100591_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/10/H/case-100591_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100591_JAY_ANNOTATION.png,"[11,10]",0.52
regenerated_new/13/H/case-100591_JAY_ANNOTATION.png,"[10,13]",0.51
regenerated_new/1/H/case-100702_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/3/H/case-100702_JAY_ANNOTATION.png,"[3,4]",0.41
regenerated_new/7/H/case-100702_JAY_ANNOTATION.png,"[6,7]",0.41
regenerated_new/10/H/case-100702_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100702_JAY_ANNOTATION.png,"[11,6]",0.46
regenerated_new/12/H/case-100702_JAY_ANNOTATION.png,"[8,12]",0.46
regenerated_new/1/H/case-100770_JAY_ANNOTATION.png,"[1,10]",0.46
regenerated_new/2/H/case-100770_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/1/H/case-100779_JAY_ANNOTATION.png,"[1,2]",0.41
regenerated_new/10/H/case-100779_JAY_ANNOTATION.png,"[10,11]",0.52
regenerated_new/11/H/case-100779_JAY_ANNOTATION.png,"[11,14]",0.51
regenerated_new/1/H/case-100863_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/3/H/case-100863_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/10/H/case-100863_JAY_ANNOTATION.png,"[10,13]",0.51
regenerated_new/11/H/case-100863_JAY_ANNOTATION.png,"[11,13]",0.51
regenerated_new/1/H/case-100915_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/9/H/case-100915_JAY_ANNOTATION.png,"[8,9]",0.41
regenerated_new/10/H/case-100915_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100915_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/13/H/case-100915_JAY_ANNOTATION.png,"[12,13]",0.51
regenerated_new/1/H/case-100917_JAY_ANNOTATION.png,"[1,7]",0.41
regenerated_new/2/H/case-100917_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/3/H/case-100917_JAY_ANNOTATION.png,"[3,4]",0.41
regenerated_new/10/H/case-100917_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-100917_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/13/H/case-100917_JAY_ANNOTATION.png,"[12,13]",0.51
regenerated_new/1/H/case-101045_JAY_ANNOTATION.png,"[1,2]",0.41
regenerated_new/3/H/case-101045_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/5/H/case-101045_JAY_ANNOTATION.png,"[5,11]",0.46
regenerated_new/10/H/case-101045_JAY_ANNOTATION.png,"[10,12]",0.51
regenerated_new/11/H/case-101045_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-101074_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/2/H/case-101074_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/5/H/case-101074_JAY_ANNOTATION.png,"[5,13]",0.46
regenerated_new/6/H/case-101074_JAY_ANNOTATION.png,"[6,9]",0.41
regenerated_new/11/H/case-101074_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-101133_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/3/H/case-101133_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/10/H/case-101133_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-101133_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/13/H/case-101133_JAY_ANNOTATION.png,"[13,14]",0.51
regenerated_new/1/H/case-101195_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/3/H/case-101195_JAY_ANNOTATION.png,"[2,3]",0.41
regenerated_new/10/H/case-101195_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/11/H/case-101195_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-101206_JAY_ANNOTATION.png,"[1,11]",0.46
regenerated_new/6/H/case-101206_JAY_ANNOTATION.png,"[4,6]",0.41
regenerated_new/10/H/case-101206_JAY_ANNOTATION.png,"[10,11]",0.51
regenerated_new/1/H/case-101362_JAY_ANNOTATION.png,"[1,12]",0.46
regenerated_new/2/H/case-101362_JAY_ANNOTATION.png,"[2,3]",0.4
regenerated_new/10/H/case-101362_JAY_ANNOTATION.png,"[11,10]",0.51
